dataset,optimiser,seed,train_rmse,test_rmse
autompg6,ga,2,2.8842337131500244,2.764143705368042
autompg6,ga,3,2.8470335006713867,2.650541067123413
autompg6,ga,4,2.8467235565185547,2.672607660293579
autompg6,ga,5,3.066743850708008,2.802011251449585
autompg6,ga,6,3.037266969680786,2.7168819904327393
autompg6,ga,7,3.1341686248779297,2.968339204788208
autompg6,ga,8,3.1242518424987793,2.869107723236084
autompg6,ga,9,3.187605619430542,2.9535927772521973
autompg6,de,0,2.9107577800750732,2.888170003890991
autompg6,de,1,2.9365832805633545,2.7906534671783447
autompg6,de,2,2.8597843647003174,2.669841766357422
autompg6,de,3,2.8583736419677734,2.840629816055298
autompg6,de,4,2.8690450191497803,2.619873285293579
autompg6,de,5,3.0811493396759033,3.0599710941314697
autompg6,de,6,2.8722853660583496,2.543848991394043
autompg6,de,7,2.9438252449035645,2.93750262260437
autompg6,de,8,2.815032958984375,2.673337697982788
autompg6,de,9,2.934180974960327,2.88507342338562
autompg6,cmaes,0,3.146192789077759,2.9931352138519287
autompg6,cmaes,1,3.5145838260650635,3.3173282146453857
autompg6,cmaes,2,2.991168975830078,2.9006810188293457
autompg6,cmaes,3,2.9958882331848145,2.6733129024505615
autompg6,cmaes,4,3.407581329345703,3.1732161045074463
autompg6,cmaes,5,3.5703744888305664,3.212742805480957
autompg6,cmaes,6,3.2832634449005127,3.0210671424865723
autompg6,cmaes,7,3.6614084243774414,3.4561104774475098
autompg6,cmaes,8,3.383229970932007,3.085251808166504
autompg6,cmaes,9,3.437953233718872,3.2055604457855225
laser,adam,0,5.905908107757568,5.8525390625
laser,adam,1,5.396106243133545,5.664955139160156
laser,adam,2,5.804943084716797,6.025866508483887
laser,adam,3,6.191303253173828,5.544336318969727
laser,adam,4,5.97668981552124,6.447813510894775
laser,adam,5,6.478426456451416,6.036355018615723
laser,adam,6,6.188227653503418,5.444745063781738
laser,adam,7,6.168868541717529,5.860598087310791
laser,adam,8,6.467348575592041,5.868898868560791
laser,adam,9,5.795725345611572,5.605627059936523
laser,sgd,0,6.751296520233154,6.0148820877075195
laser,sgd,1,6.53749942779541,5.632609844207764
laser,sgd,2,6.858465671539307,6.061972141265869
laser,sgd,3,7.042916297912598,6.0273356437683105
laser,sgd,4,7.165411949157715,6.278323650360107
laser,sgd,5,7.093628406524658,6.229813575744629
laser,sgd,6,6.777900218963623,5.665849208831787
laser,sgd,7,6.966972351074219,6.159302234649658
laser,sgd,8,7.096999645233154,5.9299540519714355
laser,sgd,9,6.910456657409668,6.145231246948242
laser,rmsprop,0,7.262967586517334,6.490521430969238
laser,rmsprop,1,7.155901908874512,6.468470573425293
